id,tas_project_id,title,year,author,bibtex_source,added_by_username,project_id,forum,link,month,publication_type,doi,status,checked_for_duplicates,reviewed_by_id,reviewed_comment,reviewed_date,submitted_date,ticket_id,normalized_forum_id
12,,A Case Study on using Deep Learning for Network Intrusion Detection,2019.0,Gabriel C. Fernandez and Shouhuai Xu,"{""doi"": ""10.1109/MILCOM47813.2019.9020824"", ""biburl"": ""https://dblp.org/rec/conf/milcom/FernandezX19.bib"", ""title"": ""A Case Study on using Deep Learning for Network Intrusion Detection"", ""url"": ""https://doi.org/10.1109/MILCOM47813.2019.9020824"", ""timestamp"": ""Thu, 19 Mar 2020 08:47:16 +0100"", ""booktitle"": ""2019 {IEEE} Military Communications Conference, {MILCOM} 2019, Norfolk,\nVA, USA, November 12-14, 2019"", ""author"": ""Gabriel C. Fernandez and\nShouhuai Xu"", ""ENTRYTYPE"": ""inproceedings"", ""year"": ""2019"", ""bibsource"": ""dblp computer science bibliography, https://dblp.org"", ""ID"": ""DBLP:conf/milcom/FernandezX19"", ""pages"": ""1--6"", ""crossref"": ""DBLP:conf/milcom/2019""}",admin,626.0,MILCOM 2019 - 2019 IEEE Military Communications Conference (MILCOM),,,conference paper,10.1109/MILCOM47813.2019.9020824,APPROVED,1,,,,,,546.0
13,,StragglerHelper: Alleviating Straggling in Computing Clusters via Sharing Memory Access Patterns,2020.0,Wenjie Liu and Ping Huang and Xubin Het,"{""author"": ""Wenjie Liu and Ping Huang and Xubin Het"", ""booktitle"": ""Proceedings of the 34th {IEEE} International Parallel and Distributed Processing Symposium (IPDPS\u201920)"", ""address"": ""New Orleans"", ""month"": ""May"", ""year"": ""2020"", ""title"": ""{StragglerHelper: Alleviating Straggling in Computing Clusters via Sharing Memory Access Patterns}"", ""ID"": ""liu20ipdps"", ""ENTRYTYPE"": ""inproceedings""}",admin,205.0,2020 IEEE International Parallel and Distributed Processing Symposium (IPDPS),,5.0,conference paper,,APPROVED,1,,,,,,547.0
15,,Developing Accurate and Scalable Simulators of Production Workflow Management Systems with WRENCH,2020.0,"Casanova, Henri and Ferreira da Silva, Rafael and Tanaka, Ryan and Pandey, Suraj and Jethwani, Gautam and Koch, William and Albrecht, Spencer and Oeth, James and Suter, Fr\'ed\'eric","{""doi"": ""10.1016/j.future.2020.05.030"", ""title"": ""Developing Accurate and Scalable Simulators of Production Workflow Management Systems with WRENCH"", ""journal"": ""Future Generation Computer Systems"", ""author"": ""Casanova, Henri and Ferreira da Silva, Rafael and Tanaka, Ryan and Pandey, Suraj and Jethwani, Gautam and Koch, William and Albrecht, Spencer and Oeth, James and Suter, Fr\\'{e}d\\'{e}ric"", ""number"": """", ""ENTRYTYPE"": ""article"", ""volume"": ""112"", ""year"": ""2020"", ""ID"": ""casanova2020fgcs"", ""pages"": ""162--175""}",admin,122.0,"Future Generation Computer Systems, Vol. 112",https://doi.org/10.1016/j.future.2020.05.030,11.0,journal article,10.1016/j.future.2020.05.030,APPROVED,1,,,,,,548.0
16,,Couper: DNN Model Slicing for Visual Analytics Containers at the Edge,2019.0,"Hsu, Ke-Jou and Bhardwaj, Ketan and Gavrilovska, Ada","{""numpages"": ""16"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3318216.3363309"", ""isbn"": ""9781450367332"", ""title"": ""Couper: DNN Model Slicing for Visual Analytics Containers at the Edge"", ""url"": ""https://doi.org/10.1145/3318216.3363309"", ""series"": ""SEC \u201919"", ""booktitle"": ""Proceedings of the 4th ACM/IEEE Symposium on Edge Computing"", ""author"": ""Hsu, Ke-Jou and Bhardwaj, Ketan and Gavrilovska, Ada"", ""ENTRYTYPE"": ""inproceedings"", ""location"": ""Arlington, Virginia"", ""year"": ""2019"", ""keywords"": ""edge computing, container orchestration, DNN partitioning, pipeline processing, video analytics application, deep neural network, computation offloading"", ""ID"": ""10.1145/3318216.3363309"", ""pages"": ""179\u2013194"", ""address"": ""New York, NY, USA""}",admin,441.0,SEC '19: Proceedings of the 4th ACM/IEEE Symposium on Edge Computing,,,conference paper,10.1145/3318216.3363309,APPROVED,1,,chameleon scalable,,,,549.0
17,,Toward Lighter Containers for the Edge,2020.0,Misun Park and Ketan Bhardwaj and Ada Gavrilovska,"{""publisher"": ""{USENIX} Association"", ""title"": ""{Toward Lighter Containers for the Edge}"", ""booktitle"": ""3rd {USENIX} Workshop on Hot Topics in Edge Computing (HotEdge 20)"", ""author"": ""Misun Park and Ketan Bhardwaj and Ada Gavrilovska"", ""month"": ""jun"", ""year"": ""2020"", ""ID"": ""misunpark:hotedge20"", ""ENTRYTYPE"": ""inproceedings""}",admin,441.0,3rd USENIX Workshop on Hot Topics in Edge Computing (HotEdge 20),,6.0,conference paper,,APPROVED,1,,,,,,550.0
20,,TraceSanitizer – Eliminating the Effects of Non-determinism on Error Propagation Analysis,2020.0,H. Saissi and S. Winter and O. Schwahn and K. Pattabiraman and N. Suri,"{""author"": ""H. {Saissi} and S. {Winter} and O. {Schwahn} and K. {Pattabiraman} and N. {Suri}"", ""booktitle"": ""{The 50th IEEE/IFIP Int. Conference on Dependable Systems and Networks (DSN 2020) (accepted)}"", ""title"": ""{TraceSanitizer -- Eliminating the Effects of Non-determinism on Error Propagation Analysis}"", ""ID"": ""Saissi2020"", ""year"": ""2020"", ""ENTRYTYPE"": ""inproceedings""}",admin,326.0,2020 50th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN),,,conference paper,,APPROVED,1,,,,,,551.0
21,,Toward live inter-domain network services on the ExoGENI testbed,2018.0,Yuanjun Yao and Qiang Cao and Rubens Farias and Jeff Chase and Victor Orlikowski and Paul Ruth and Mert Cevik and Cong Wang and Nick Buraglio,"{""title"": ""Toward live inter-domain network services on the ExoGENI testbed"", ""notes"": ""Sourced from Microsoft Academic - https://academic.microsoft.com/paper/2858910047"", ""author"": ""Yuanjun {Yao} and Qiang {Cao} and Rubens {Farias} and Jeff {Chase} and Victor {Orlikowski} and Paul {Ruth} and Mert {Cevik} and Cong {Wang} and Nick {Buraglio}"", ""ENTRYTYPE"": ""inproceedings"", ""year"": ""2018"", ""ID"": ""yao2018toward"", ""booktitle"": ""IEEE INFOCOM 2018 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)"", ""pages"": ""772--777""}",admin,216.0,IEEE INFOCOM 2018 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,conference paper,,APPROVED,1,,chameleon sdn,,,,552.0
22,,Slice-based network transit service: Inter-domain L2 networking on ExoGENI,2017.0,Yuanjun Yao and Qiang Cao and Jeff Chase and Paul Ruth and Ilya Baldin and Yufeng Xin and Anirban Mandal,"{""title"": ""Slice-based network transit service: Inter-domain L2 networking on ExoGENI"", ""notes"": ""Sourced from Microsoft Academic - https://academic.microsoft.com/paper/2769434898"", ""author"": ""Yuanjun {Yao} and Qiang {Cao} and Jeff {Chase} and Paul {Ruth} and Ilya {Baldin} and Yufeng {Xin} and Anirban {Mandal}"", ""ENTRYTYPE"": ""inproceedings"", ""year"": ""2017"", ""ID"": ""yao2017slice"", ""booktitle"": ""2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)"", ""pages"": ""736--741""}",admin,216.0,2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),,,conference paper,,REJECTED,1,10484.0,Author attested that this did not use Chameleon,1768176000000.0,,,
23,,Performance analysis of deep learning workloads using roofline trajectories,2019.0,"Javed, M. Haseeb and Ibrahim, Khaled Z. and Lu, Xiaoyi","{""doi"": ""10.1007/s42514-019-00018-4"", ""author"": ""Javed, M. Haseeb\nand Ibrahim, Khaled Z.\nand Lu, Xiaoyi"", ""title"": ""Performance analysis of deep learning workloads using roofline trajectories"", ""url"": ""https://doi.org/10.1007/s42514-019-00018-4"", ""abstract"": ""Over the last decade, technologies derived from convolutional neural networks (CNNs) called Deep Learning applications, have revolutionized fields as diverse as cancer detection, self-driving cars, virtual assistants, etc. However, many users of such applications are not experts in Machine Learning itself. Consequently, there is limited knowledge among the community to run such applications in an optimized manner. The performance question for Deep Learning applications has typically been addressed by employing bespoke hardware (e.g., GPUs) better suited for such compute-intensive operations. However, such a degree of performance is only accessibly at increasingly high financial costs leaving only big corporations and governments with resources sufficient enough to employ them at a large scale. As a result, an average user is only left with access to commodity clusters with, in many cases, only CPUs as the sole processing element. For such users to make effective use of resources at their disposal, concerted efforts are necessary to figure out optimal hardware and software configurations. This study is one such step in this direction as we use the Roofline model to perform a systematic analysis of representative CNN models and identify opportunities for black box and application-aware optimizations. Using the findings from our study, we are able to obtain up to 3.5{\\$}{\\$}{\\backslash}times{\\$}{\\$}{\\texttimes} speedup compared to vanilla TensorFlow with default configurations."", ""issn"": ""2524-4930"", ""number"": ""3"", ""month"": ""Dec"", ""volume"": ""1"", ""pages"": ""224-239"", ""ENTRYTYPE"": ""article"", ""year"": ""2019"", ""journal"": ""CCF Transactions on High Performance Computing"", ""ID"": ""Javed2019"", ""day"": ""01""}",admin,450.0,CCF Transactions on High Performance Computing,,12.0,journal article,10.1007/s42514-019-00018-4,APPROVED,1,,chameleon scalable,,,,553.0
24,,taxadb: A High-Performance Local Taxonomic Database Interface,2020.0,"Norman, Kari E A and Chamberlain, Scott and Boettiger, Carl","{""doi"": ""10.1111/2041-210X.13440"", ""author"": ""Norman, Kari E A and Chamberlain, Scott and Boettiger, Carl"", ""url"": ""https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.13440"", ""journal"": ""Methods in Ecology and Evolution"", ""title"": ""taxadb: A High-Performance Local Taxonomic Database Interface"", ""ID"": ""doi:10.1111/2041-210X.13440"", ""eprint"": ""https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.13440"", ""year"": ""2020"", ""ENTRYTYPE"": ""article""}",admin,431.0,"Methods in Ecology and Evolution, Vol. 11, Issue 9",,,journal article,10.1111/2041-210X.13440,APPROVED,1,,,,,,554.0
26,,COMET: A Distributed Metadata Service for Federated Cloud Infrastructures,2019.0,Cong Wang and Komal Thareja and Michael Stealey and Paul Ruth and Ilya Baldin,"{""title"": ""COMET: A Distributed Metadata Service for Federated Cloud Infrastructures"", ""notes"": ""Sourced from Microsoft Academic - https://academic.microsoft.com/paper/2990626289"", ""author"": ""Cong {Wang} and Komal {Thareja} and Michael {Stealey} and Paul {Ruth} and Ilya {Baldin}"", ""ENTRYTYPE"": ""inproceedings"", ""year"": ""2019"", ""ID"": ""wang2019comet"", ""booktitle"": ""2019 IEEE High Performance Extreme Computing Conference (HPEC)"", ""pages"": ""1--7""}",admin,511.0,2019 IEEE High Performance Extreme Computing Conference (HPEC),,,conference paper,,APPROVED,1,,chameleon webpage,,,,555.0
30,,A Module-Based Approach to Teaching Big Data and Cloud Computing Topics at CS Undergraduate Level,2019.0,"Deb, Debzani and Fuad, Muztaba and Irwin, Keith","{""numpages"": ""7"", ""publisher"": ""Association for Computing Machinery"", ""doi"": ""10.1145/3287324.3287494"", ""isbn"": ""9781450358903"", ""ENTRYTYPE"": ""inproceedings"", ""title"": ""A Module-Based Approach to Teaching Big Data and Cloud Computing Topics at CS Undergraduate Level"", ""url"": ""https://doi.org/10.1145/3287324.3287494"", ""series"": ""SIGCSE '19"", ""booktitle"": ""Proceedings of the 50th ACM Technical Symposium on Computer Science Education"", ""author"": ""Deb, Debzani and Fuad, Muztaba and Irwin, Keith"", ""pages"": ""2\u20138"", ""location"": ""Minneapolis, MN, USA"", ""year"": ""2019"", ""keywords"": ""big data, apache spark, cloud computing, mapreduce, curriculum"", ""ID"": ""10.1145/3287324.3287494"", ""abstract"": ""Big data and cloud computing collectively offer a paradigm shift in the way businesses are now acquiring, using and managing information technology. This creates the need for every CS student to be equipped with foundational knowledge in this collective paradigm and to possess some hands-on experience in deploying and managing big data applications in the cloud. We argue that, for substantial coverage of big data and cloud computing concepts and skills, the relevant topics need to be integrated into multiple core courses across the undergraduate CS curriculum rather than creating additional standalone core or elective courses and performing a major overhaul of the curriculum. Our approach to including these topics is to develop autonomous learning modules for specific core courses in which their coverage might find an appropriate context. In this paper, three such modules are discussed and our classroom experiences during these interventions are documented. So far, we have achieved reasonable success in attaining student learning outcomes, enhanced engagement, and interests. Our objective is to share our experience with the academics who aim at incorporating similar pedagogy and to receive feedback about our approach."", ""address"": ""New York, NY, USA""}",admin,354.0,SIGCSE '19: Proceedings of the 50th ACM Technical Symposium on Computer Science Education,,,conference paper,10.1145/3287324.3287494,APPROVED,1,,chameleon webpage,,,,556.0
32,,CoSim: A Simulator for Co-Scheduling of Batch and On-Demand Jobs in HPC Datacenters,2020.0,"Maurya, Avinash and Nicolae, Bogdan and Guliani, Ishan and Rafique, M Mustafa","{""month"": ""9"", ""year"": ""2020"", ""pages"": ""167-174"", ""address"": ""Prague, Czech Republic"", ""booktitle"": ""{DS-RT'20: The 24th IEEE/ACM International Symposium on Distributed Simulation and Real Time Applications}"", ""author"": ""Maurya, Avinash and Nicolae, Bogdan and Guliani, Ishan and Rafique, M Mustafa"", ""title"": ""{CoSim: A Simulator for Co-Scheduling of Batch and On-Demand Jobs in HPC Datacenters}"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""maurya:hal-02925237""}",admin,251.0,2020 IEEE/ACM 24th International Symposium on Distributed Simulation and Real Time Applications (DS-RT),,9.0,conference paper,10.1109/DS-RT50469.2020.9213578,APPROVED,1,,,,,,557.0
33,,A Statistics-Based Performance Testing Methodology for Cloud Applications,2019.0,"He, Sen and Manns, Glenna and Saunders, John and Wang, Wei and Pollock, Lori and Soffa, Mary Lou","{""series"": ""ESEC/FSE 2019"", ""location"": ""Tallinn, Estonia"", ""keywords"": ""non- parametric statistics, resource contention, cloud computing, performance testing"", ""numpages"": ""12"", ""pages"": ""188\u2013199"", ""booktitle"": ""Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering"", ""abstract"": ""The low cost of resource ownership and flexibility have led users to increasingly port their applications to the clouds. To fully realize the cost benefits of cloud services, users usually need to reliably know the execution performance of their applications. However, due to the random performance fluctuations experienced by cloud applications, the black box nature of public clouds and the cloud usage costs, testing on clouds to acquire accurate performance results is extremely difficult. In this paper, we present a novel cloud performance testing methodology called PT4Cloud. By employing non-parametric statistical approaches of likelihood theory and the bootstrap method, PT4Cloud provides reliable stop conditions to obtain highly accurate performance distributions with confidence bands. These statistical approaches also allow users to specify intuitive accuracy goals and easily trade between accuracy and testing cost. We evaluated PT4Cloud with 33 benchmark configurations on Amazon Web Service and Chameleon clouds. When compared with performance data obtained from extensive performance tests, PT4Cloud provides testing results with 95.4% accuracy on average while reducing the number of test runs by 62%. We also propose two test execution reduction techniques for PT4Cloud, which can reduce the number of test runs by 90.1% while retaining an average accuracy of 91%. We compared our technique to three other techniques and found that our results are much more accurate."", ""doi"": ""10.1145/3338906.3338912"", ""url"": ""https://doi.org/10.1145/3338906.3338912"", ""address"": ""New York, NY, USA"", ""publisher"": ""Association for Computing Machinery"", ""isbn"": ""9781450355728"", ""year"": ""2019"", ""title"": ""A Statistics-Based Performance Testing Methodology for Cloud Applications"", ""author"": ""He, Sen and Manns, Glenna and Saunders, John and Wang, Wei and Pollock, Lori and Soffa, Mary Lou"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""10.1145/3338906.3338912""}",admin,173.0,ESEC/FSE 2019: Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering,,,conference paper,10.1145/3338906.3338912,APPROVED,1,,chameleon webpage,,,,558.0
34,,Testing Cloud Applications under Cloud-Uncertainty Performance Effects,2018.0,W. Wang and N. Tian and S. Huang and S. He and A. Srivastava and M. L. Soffa and L. Pollock,"{""pages"": ""81-92"", ""number"": """", ""volume"": """", ""year"": ""2018"", ""title"": ""Testing Cloud Applications under Cloud-Uncertainty Performance Effects"", ""booktitle"": ""2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)"", ""author"": ""W. {Wang} and N. {Tian} and S. {Huang} and S. {He} and A. {Srivastava} and M. L. {Soffa} and L. {Pollock}"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""8367038""}",admin,173.0,"2018 IEEE 11th International Conference on Software Testing, Verification and Validation (ICST)",,,conference paper,,APPROVED,1,,chameleon webpage,,,,559.0
35,,Fifer: Tackling Resource Underutilization in the Serverless Era,2020.0,Jashwant Raj Gunasekaran and Prashanth Thinakaran and Nachiappan C.Nachiappan and Mahmut Taylan Kandemir and Chita R. Das,"{""year"": ""2020"", ""booktitle"": ""USENIX Middleware Conference"", ""title"": ""{Fifer: Tackling Resource Underutilization in the Serverless Era}"", ""author"": ""Jashwant Raj Gunasekaran and Prashanth Thinakaran and Nachiappan C.Nachiappan and Mahmut Taylan Kandemir and Chita R. Das"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""fifer""}",admin,341.0,Middleware '20: Proceedings of the 21st International Middleware Conference,,,conference paper,,APPROVED,1,,,,,,560.0
37,,Taming Performance Hotspots in Cloud Storage with Dynamic Load Redistribution,2017.0,R. R. Noel and P. Lama,"{""pages"": ""42-49"", ""number"": """", ""volume"": """", ""year"": ""2017"", ""title"": ""Taming Performance Hotspots in Cloud Storage with Dynamic Load Redistribution"", ""booktitle"": ""2017 IEEE 10th International Conference on Cloud Computing (CLOUD)"", ""author"": ""R. R. {Noel} and P. {Lama}"", ""ENTRYTYPE"": ""inproceedings"", ""ID"": ""8030570""}",admin,662.0,2017 IEEE 10th International Conference on Cloud Computing (CLOUD),,,conference paper,,APPROVED,1,,,,,,540.0
